type,name,location,desc,activities,amenities,accessability,lat,lon,lat_clean,lon_clean
park,Meadowbrooke Park,Grafton,,"Basketball, Ice Skating, Playground, Sledding, Tennis","Benches, Garbage, Drinking Fountain, Parking,  Picnic Benches, Rest Rooms",,43.33288803,-87.94765998,#VALUE!,#VALUE!
park,River Front Park,Grafton,,"Canoe/Kayak, Fishing",Picnic  Benches,,43.32086633,-87.94891927,#VALUE!,#VALUE!
park,Veterans Memorial Park,Grafton,"Veterans Memorial Park is located at 1036 13th Avenue. This 3-acre neighborhood park includes 1 year-round pavilion with open-air shelter, 1 open-air gazebo shelter, restroom facilities, a handicapped-accessible playground area, a basketball court, fishing, a canoe/kayak ramp, and an opportunity for ice skating on the Milwaukee River during the winter months. Angled street parking is available adjacent to the park.","Basketball, Canoe/Kayak, Playground, Fishing, Ice Skating","Electricity, Picnic Benches, Picnic Shelter, Restrooms, Recycling, Canoe/Kayak Launch",Playground,43.32123889,-87.950194,#VALUE!,#VALUE!
wpa,Blue-wing Waterfowl Production Area,Grafton,"Blue-wing Waterfowl Production Area, located on County Road C, is almost 54 acres in size. It’sabout half wetland and half grassland. Species such as American bittern and green heron share the wetland area with yellow-headed and red-winged blackbirds, while rough-legged hawks and American kestrels fly overhead searching the grasslands for rodents. Other grassland species such as sedge wren and common yellowthroat can frequently be found on the site. The WPA is managed by Leopold Wetland Management District of the U.S. Fish & Wildlife Service.  This WPA is closed to hunting due to the proximity of urban areas but remains open to other compatible uses.  For more information on compatible uses, such as hiking, or about the 57 WPAs managed by the District.",Bird Watching,,,43.33098279,-87.90248942,#VALUE!,#VALUE!
wpa,Ulao Waterfowl Production Area,Grafton,"This site lies adjacent to Lion's Den Nature Preserve. A Leopold Wetland Management District, it is under the ownership and stewardship of the U.S.Fish and Wildlife Service. Scoters, loons and most species of ducks can be seen here at different times along with dozens of species of song and water birds.","Bird Watching, Hiking","Boardwalk, Observation Deck, Parking",,43.34070251,-87.88821788,#VALUE!,#VALUE!
naturepreserve,Cedarburg Environmental Study Area,Cedarburg,"<p>In the midst of the Town of Cedarburg, one of the most rapidly developing areas in the region, is a 38-acre tract of ponds, wetland and forest, which serves as a refuge for a variety of wildlife species.</p><p>The Cedarburg Environmental Study Area (CESA) was acquired by the Ozaukee Washington Land Trust in 1998 from the Senglaub family of Cedarburg. Several years prior to OWLT ownership, the Senglaubs had initiated a major transformation of the former agricultural fields. Multiple wetlands and ponds were created in addition to the planting of over 40,000 trees. This dramatically changed the landscape and created a wide variety of habitats. For their efforts the Senglaubs received the Wisconsin Land Conservation Association Habitat Development Award in 1988.</p><p>As you walk the trails of the property, you will notice many different habitat types including wetlands, ponds, open meadow, conifer forests, and mixed hardwoods forests. The vegetation, both native and non native, has created habitat for a variety of insects, birds, mammals, amphibians, and reptiles. Bird species such as blue-winged teal, wood ducks, mallards, green herons, and warbling vireo have been observed on the property. Plant species such as green ash, red maple, red osier dogwood, white pine, and jack-in-the pulpit are found within the property. It’s also known for its amazing array of ant hills.</p><p>As the name suggests CESA is dedicated to the study of the natural world. It is ideal for hiking, bird watching and a variety of environmental education activities. Due to the close proximity to regional schools, this property provides an excellent opportunity to learn about the diversity of habitats within a relatively small area.</p><p>Several local school groups, the Town of Cedarburg, Boy Scouts, Girl Scouts, and dedicated volunteers contribute collectively to maintain this property.</p>",Hiking,Parking,,43.29648819,-88.04385136,#VALUE!,#VALUE!
park,Adlai Horn,Cedarburg,,"Baseball, Tennis","Garbage, Parking",,43.29851559,-87.98286786,#VALUE!,#VALUE!
park,Cedar Creek Park,Cedarburg,,"Canoe/Kayak, Playground, Sledding","Picnic Benches, Picnic Shelter, Restrooms, Creek",,43.29594739,-87.98342619,#VALUE!,#VALUE!
park,Cedar Pointe Park,Cedarburg,,"Baseball, Basketball, Playground","Parking, Picnic Shelter, Restrooms",,43.29185914,-88.00261529,#VALUE!,#VALUE!
park,Centennial Park,Cedarburg,,"Playground, Sledding, Swimming, Volleyball","Benches, Parking, Picnic Benches, Restrooms, Pond",,43.30434615,-87.99514403,#VALUE!,#VALUE!
park,Covered Bridge Park,Cedarburg,,Canoe/Kayak,"Parking, Picnic Benches, Restrooms, Canoe/Kayak Launch, River",,43.33864284,-88.00376545,#VALUE!,#VALUE!
park,Creekside Park,Cedarburg,,Canoe/Kayak,"Parking (limited),Canoe/Kayak Launch, Creek",,43.33707586,-88.03150658,#VALUE!,#VALUE!
park,Fischer Park,Cedarburg,,Sledding,Parking (limited street),,43.29539191,-87.9883768,#VALUE!,#VALUE!
park,Herman A Zeunert Park,Cedarburg,,"Baseball, Pickleball, Tennis, Playground","Benches, Parking, Picnic Benches, Picnic Shelter, Restrooms, Quarry",,43.28730815,-87.98070377,#VALUE!,#VALUE!
park,Pleasant Valley Nature Park,Cedarburg,"Located in Cedarburg, this 88 acre park has hiking trails, pond, boardwalk and observation tower.  There is also a picnic area with bathroom facilities.","Biking, Hiking, Mountain Biking","Parking, Picnic Benches, Restrooms, Trail System, Boardwalk, Observation Tower",,43.35569861,-87.97385176,#VALUE!,#VALUE!
park,Woodland Park,Cedarburg,"Woodland Park is located in Cedarburg, north of Bridge Road on the East side of Cedar Creek",Basketball,,,43.30433344,-87.98274971,#VALUE!,#VALUE!
park,Legion Memorial Park,Cedarburg,,"Baseball, Sledding",Parking (limited street),,43.29406594,-87.98319015,#VALUE!,#VALUE!
naturepreserve,Huiras Lake Natural Area,Fredonia,"<p>Located in the Town of Fredonia within the 435-acre Huiras Lake Woods and Bog Natural Area, Huiras Lake State Natural Area is 113 acres. This preserve contains 26 acres of back water seepage lake, 80 acres of hardwood and a conifer swamp. The lack of recent disturbances combined with absence of introduced exotic plant species renders this area among the most pristine wetlands in southeastern Wisconsin. Additionally, Huiras Lake’s plant communities are very unusual for the southeastern Wisconsin region. The plant communities of Huiras Lake are more typical of those found in Northern Wisconsin. Visit this preserve to hike, bird watch, fish, hunt, boat or cross country ski.</p><p>In 1999, OWLT purchased 103.5 acres within the 435 acre Huiras Lake Woods and Bog Natural Area. That acreage is known as the Huiras Lake property and features a 26 acre back water seepage lake. The lack of recent disturbances combined with absence of exotic introduced plant species renders this area among the most pristine wetlands in southeastern Wisconsin. Additionally, the plant communities of Huiras Lake are very unusual for the southeastern Wisconsin region. The wetland communities of Huiras Lake are more typical of those found in Northern Wisconsin. Owing to its unique wetland profile SEWRPC has categorized this site as an A-2 natural area of regional significance.</p><p>The OWLT property includes the majority of the Lake’s northern shoreline as well as 80 acres of hardwood and conifer swamp. There is a 26 acre backwater seepage lake located on the property. The remaining upland fields are being restored to native forest. The original hydrology of the site is being reclaimed by restoring wetlands that had been drained affecting the seasonally flooded lowland forest. This OWLT property is ideal for hiking, canoeing, bird watching and fishing.</p>","Hiking, Bird Watching","Parking, Boardwalk, Lake",,43.52606323,-87.9821951,#VALUE!,#VALUE!
other,Pine View Wildlife Rehabilitation Center,Fredonia,"<p>Pine View WRC is located in Southeastern Wisconsin and treats more than 600 birds and animals annually. Our staff consists largely of volunteers, work study students and advisers, and a board of directors.</p><p>In addition to rehabilitating sick and injured wildlife, our staff presents over 100 wildlife educational programs each year to schools, civic and environmental organizations. In addition, we provide on-site educational programs at the Center for 4-H, Scout, ecology, and other interested groups.</p><p>We are fully certified and licensed by the State of Wisconsin Department of Natural Resources and the Federal Government. Our funding comes from donations and memberships. We are not supported by any state or federal funds.</p><p>Pine View has been serving as an educational resource to members of the Wisconsin community for nearly 20 years. Featuring live birds and animals, programs are presented to classrooms, clubs and a variety of civic organizations with a message about the importance of co-existing with the earth's wild creatures. These presentations also teach individuals about wildlife behavior and natural history.</p>",,,,43.49796669,-88.03401017,#VALUE!,#VALUE!
park,Marie Krause Park,Fredonia,,"Biking, Disc Golf, Hiking, Soccer","Parking, Trail System",,43.4675481,-87.96232535,#VALUE!,#VALUE!
park,Waubedonia County Park,Fredonia,"The park is located along the east bank of the Milwaukee River and offers quiet scenic areas for picnicking, fishing and hiking. There are two baseball diamonds, three tennis courts, playground area, boat/canoe/kayak launches, open shelter building, grills and restrooms. Bring your tent and stay overnight at one of the ten rustic campsites.","Baseball, Biking, Camping, Canoe/Kayak, Hiking, Playground, Soccer, Tennis","Parking, Picnic Benches, Picnic Shelter, Restrooms, Canoe/Kayak Launch",,43.46896106,-87.9706728,#VALUE!,#VALUE!
naturepreserve,Donges Bay Gorge,Mequon,"<p>These intact woodlands provide a 'first-class hotel' for neo-tropical migratory birds using the Lake Michigan migration flyway, both in Spring and again in Fall. The upland portion of the property is a woodland consisting of white pine, sugar maple, white birch, hop hornbeam, red oak, American basswood, large-tooth aspen and American beech. Biologists have documented common spring-flowering plants include trilliums, yellow trout lily, spring beauty, wild onion, wild geranium, white and red bane-berry and mayapple. The former owners worked diligently to protect these ephemeral beauties from many threats of destruction. Other rare wildflowers may still exist and will likely reappear with ecologically correct land management.</p><p>In the northeast portion several acres were cleared for a residence, pool and a tennis court (all non-extant), and pool house. Some of this area has been landscaped with introduced plants. A small stone bridge was constructed over the ravine and a long drive connects the entrance on Lake Shore Drive to where the residence once stood.</p><p>From a historic preservation standpoint it is important to note that the landscape plan for the site was designed by famed landscape architect Jens Jensen. Although degraded over time, much of Jensen’s influence on the landscape remains. Jensen’s original plans for the site have been found and will be used to help preserve a portion of the property. In addition, the prominent Milwaukee architect Thomas VanAlyea was the designer of the 1930s era stone structures, which remain on the site.</p><p>Just to the south, this land adjoins North Fairy Chasm subdivision and Fairy Chasm Preserve. Together, these areas create a greatly expanded wildlife refuge for both the common and endangered inhabitants of this ecologically unique place. These lands suggest a primeval Wisconsin. With careful planning its beauty and awe will be discovered anew by future Wisconsin generations.</p>","Hiking, Bird Watching",Parking (limited),,43.2061791,-87.9027017,#VALUE!,#VALUE!
naturepreserve,Grasslyn Nature PReserve,Mequon,This preserve in Mequon offers trails and prairies for hiking. Donated to the City in the early 1970's by the developer of Whitman Place.,Hiking,Parking,,43.1998387,-87.93411163,#VALUE!,#VALUE!
naturepreserve,Lilly Lane,Mequon,,,,,43.1978925,-87.99046469,#VALUE!,#VALUE!
naturepreserve,Little Menomonee River Fish and Wildlife Preserve,Mequon,"<p>The Little Menomonee River Fish and Wildlife Preserve is a 56.28-acre park that includes 1,900 feet of stream shoreline on the Little Menomonee River. The Department is currently working on master planning for the park that will include picnic areas and walking trails. Three different wetland areas can be seen within the park, each with distinct habitats and functions. There is an ephemeral wooded pool created to provide habitat for amphibians and reptiles, an emergent marsh that provides habitat for fish, and a deeper wetland with open water and marsh that attracts and provides habitat for migratory waterfowl and shorebirds. Forested wetland and wet prairie habitats are found around the wetlands and provide additional bird habitat. The wildlife habitats w","Hiking, Bird Watching",Parking,,43.22356332,-88.0274511,#VALUE!,#VALUE!
naturepreserve,Mequon Nature Preserve,Mequon,"This site is a 510-acre area in the City of Mequon, preserved forever for the enjoyment of nature. Among its features is a pre-European settlement beech and maple forest, a working farm, a recently restored wetland, and an observation tower. Additionally, MNP has a 12,000 sq. ft. PieperPower Educational Center is dedicated to the study of the environment. The Center offers classrooms, large meeting and display areas, and space for scientific programs. The improved trails are ideal for snowshoeing, hiking, and bird-watching. Work continues to remove invasive species and replant hardwood trees on the property. MNP will serve as a haven for wildlife and people for years to come.","All-natural Play Space, Basketball, Cross-Country Skiing, Hiking, Bird Watching","Parking, Restrooms, Trail system, Education Center, Observation Tower",,43.19341575,-88.01005919,#VALUE!,#VALUE!
naturepreserve,Pukaite Woods,Mequon,"On the North end of the Rotary Park is Pukaite Woods Nature Preserve which features Loyal Wells Nature Trail (Handicapped Accessible), observation deck, meadow area, oak savannah area.","Hiking, Bird Watching","Parking, Restrooms, Trailsystem, Boardwalk, Observationn Deck, Creek","Restrooms, Trail",43.25974234,-87.96015671,#VALUE!,#VALUE!
naturepreserve,River Forest Nature Preserve,Mequon,This nature preserve is located in Mequon and borders the Milwaukee River. With walking trails for hiking and cross-country skiing.,"Hiking, Bird Watching, Cross-country Skiing","Parking, Trail System",,43.23743348,-87.9395325,#VALUE!,#VALUE!
naturepreserve,Shoreland Nature Preserve,Mequon,Shoreland Nature Preserve is located in Mequon along the Milwaukee River and owned by the City or Mequon. This 19 acre conservancy features walking trails along a private lake and through wooded trails to the river. Mostly made up of wetlands due to the low lying area along the river.,"Hiking, Bird Watching","Parking (limited street), Trail System",,43.24288049,-87.93652264,#VALUE!,#VALUE!
naturepreserve,Trinity Creek Wetland Habitat,Mequon,"Trinity Creek Wetland Habitat is an often overlooked gem of the Ozaukee County park system. This 35-acre restored stream and wetland system is designed to provide floodwater storage, improve water quality, and provide habitat for northern pike spawning. As if that wasn't reason enough to have this property restored, the area also provides invaluable habitat for the nearly 100 species of birds that use this wetland throughout the year.","Hiking, Bird Watching","Benches, Parking, Trail System, Pond",,43.19616326,-87.9788087,#VALUE!,#VALUE!
naturepreserve,Willow  Bay,Mequon,This site was donated to the City in 1987. Access is presently available only by means of a private access drive off Baehr Road which passes by five existing residences before reaching the site.,,Pond,,43.25004765,-87.93517913,#VALUE!,#VALUE!
park,Highland Woods,Mequon,"This 85 acre parcel was purchased by the Ozaukee Land Trust through generous private donations, City of Mequon funds from the land acquisition account, and a grant from the DNR.  The Ozaukee Land Trust turned the property over to the City in 1996 as a passive use nature and educational study area. An agreement between the OLT, City of Mequon, and the DNR governs the site.",Hiking,"Parking, Trail System",,43.24843369,-87.98557581,#VALUE!,#VALUE!
park,Virmond County Park,Mequon,"<p>Check out the magnificent overlooks and surprising features of this coastal county park, including the first engineered Chimney Swift chimney in Ozaukee.</p><p>George Virmond originally donated this woods and vacant land in 1944, with the request of developing a park for all to enjoy.</p><p>Many people are currently using this park for tennis, volley ball, baseball, soccer, children's playground and weddings. The park also has several excellent hiking trails through the nature preserve areas.</p>","Baseball, Cross-Country Skiing, Hiking, Playground, Tennis, Volleyball, Bird Watching","Benches, Garbage, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Restrooms, Trail system",,43.21203394,-87.90153613,#VALUE!,#VALUE!
park,Garrison's Glen,Mequon,"This 22 acre park was acquired in 2006, named in memory of Garrison Adams, a former student of the Donges Bay School.","Canoe/Kayak, Hiking","Parking, Canoe/Kayak Launch, River",,43.28010819,-87.94012003,#VALUE!,#VALUE!
park,Katherine Kearney Carpenter Park,Mequon,This site was donated to the City in 1967 subject only to the conditions that it be used for public park purposes and that children and pets be given unrestricted access.,Hiking,"Parking, Trail System",,43.19925556,-87.91749637,#VALUE!,#VALUE!
park,Lemke Park,Mequon,,"Archery, Baseball, Playground, Volleyball","Electricity, Parking, Picnic Benches, Picnic Shelter, Portable Toilet, Trail system",,43.20510176,-88.03665353,#VALUE!,#VALUE!
park,Little Menomonee Site,Mequon,This site was purchased by the City in 1992 with funds from the land acquisition account as part of a plan to acquire property or easements along the Little Menomonee River for expansion of passive outdoor recreational activities and to implement non-point source pollution control.,Hiking,Parking,,43.22361805,-88.02733309,#VALUE!,#VALUE!
park,Mee Kwon Park,Mequon,"Mee Kwon County Park offers some wooded areas and hiking trails. Mostly known for the sledding hill and small pond for fishing, the hiking trails are not well publicized but can be found on the county's brochure.  The park itself was once being considered for a dog park, but restrictions dictate it must remain a park due to how it was purchased. Cross-country skiing is popular at Mee Kwon in winter and the trails are groomed for both stride and skate skiing.","Cross-Country Skiing, Hiking, Sledding, Snowshoe, Fishing","Parking, Trail System",,43.25882447,-87.98898897,#VALUE!,#VALUE!
park,Mequon Community Park,Mequon,,"Baseball, Playground, Swimming","Parking, Picnic Benches, Restrooms",,43.22446915,-87.98602753,#VALUE!,#VALUE!
park,River Barn Park,Mequon,,"Baseball, Canoe/Kayak, Fishing, Playground, Soccer","Parking, Trail System, Canoe/Kayak Launch, River",,43.19608367,-87.96586959,#VALUE!,#VALUE!
park,Riverview Park,Mequon,,"Baseball, Canoe/Kayak, Fishing, Hiking, Playground","Parking, Trail System, Canoe/Kayak Launch, River",,43.23291495,-87.96196088,#VALUE!,#VALUE!
park,Rotary Park,Mequon,"<p>This site was purchased by the City in 1989 with generous donations from the Rotary Club for the specific purpose of creating a multiple use community park. An approved landscaping and phased development plan governs the site.</p><p>Located at 4100 W Highland Road east of MATC in Mequon, WI.</p><p>On the North end of the Rotary Park is Pukaite Woods Nature Preserve which features Loyal Wells Nature Trail (Handicapped Accessible), observation deck, meadow area, oak savannah area.</p>","Baseball, Basketball, Hiking, Playground, Soccer","Benches, Electricity, Garbage, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Rest Rooms, Trail System","Playground, Restrooms, Trail",43.25491439,-87.96041579,#VALUE!,#VALUE!
park,Scout Park,Mequon,,"Canoe/Kayak, Fishing","Parking (limited), Canoe/Kayak Launch",,43.235752,-87.95010813,#VALUE!,#VALUE!
park,Thiensville Village Park,Mequon,The Village Park and its riverside setting is considered one of Thiensville's crown jewels.,"Baseball, Biking, Canoe/Kayak, Fishing, Hiking, Playground, Tennis","Parking, Picnic Benches, Picnic Shelter, Restrooms, Canoe/Kayak Launch",,43.23237786,-87.97743639,#VALUE!,#VALUE!
park,Villa Grove Park,Mequon,This community park is located in Mequon South of Freistadt Rd. on Villa Grove Rd.  The park is bordered on the South side by the Milwaukee River and has a small parking lot with a canoe/boat launch.  Great views of the river can be seen with lots of wildlife around.,"Bird Watching, Canoe/Kayak, Fishing","Parking, Boat Launch, Canoe/Kayak Launch",,43.23575137,-87.95548109,#VALUE!,#VALUE!
naturepreserve,Center Lane Preserve,Newburg,"<p>This 60 plus acres parcel was purchased by OWLT from Ed and Janet Beimborn in 2017. This land has been in and out of the Beimborn family's hands for over 120 years. The family cabin serves as a reminder of those days.</p><p>The Beimborns considered their land a very special place, viewed their ownership as temporary, and regarded themselves primarily as stewards of this land. They felt that moving the land to the land trust would be the best way to guarantee that the land would continue to be preserved and protected. It also made it available to others who love woods, waters, and open spaces to enjoy it as their family had done for so long.</p><p>The land is part of the Cedar Sauk Woodlands. The water here is part of the headwaters of Cedar Creek.</p>","Hiking, Bird Watching",,,43.41139026,-88.0245833,#VALUE!,#VALUE!
